tconst,averageRating,numVotes
tt8792568,9.0,121
tt8792574,9.0,125
tt8792582,9.0,127
tt8792808,7.9,106
tt8792818,9.2,147
tt8792824,8.9,116
tt8792832,8.5,109
tt8792836,8.8,117
tt8792844,8.3,111
tt8792850,8.6,114
tt8792858,9.2,163
tt8792864,8.3,103
tt8792870,8.3,102
tt8792876,8.8,109
tt8792878,9.1,132
tt9103946,8.4,536
tt9103948,8.3,468
tt9103952,8.6,454
tt9103954,8.3,419
tt9103958,8.7,444
tt9103960,8.3,372
tt9103964,8.0,347
tt9103966,8.2,362
tt9103970,8.4,354
tt9103988,8.5,318
