tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt10470808,tvEpisode,Questions/Eyebrows/After School/Happy Birthday/Sneeze,Questions/Eyebrows/After School/Happy Birthday/Sneeze,0,2019,\N,\N,Romance
tt10470812,tvEpisode,Revenge/Dodgeball/Buy and Eat/Date,Revenge/Dodgeball/Buy and Eat/Date,0,2019,\N,\N,Animation
tt10470812,tvEpisode,Revenge/Dodgeball/Buy and Eat/Date,Revenge/Dodgeball/Buy and Eat/Date,0,2019,\N,\N,Comedy
tt10470812,tvEpisode,Revenge/Dodgeball/Buy and Eat/Date,Revenge/Dodgeball/Buy and Eat/Date,0,2019,\N,\N,Romance
tt10470814,tvEpisode,Camping Trip,Camping Trip,0,2019,\N,\N,Animation
tt10470814,tvEpisode,Camping Trip,Camping Trip,0,2019,\N,\N,Comedy
tt10470814,tvEpisode,Camping Trip,Camping Trip,0,2019,\N,\N,Romance
tt10470820,tvEpisode,Storage Closet/Nurse's Office/Lottery,Storage Closet/Nurse's Office/Lottery,0,2019,\N,\N,Animation
tt10470820,tvEpisode,Storage Closet/Nurse's Office/Lottery,Storage Closet/Nurse's Office/Lottery,0,2019,\N,\N,Comedy
tt10470820,tvEpisode,Storage Closet/Nurse's Office/Lottery,Storage Closet/Nurse's Office/Lottery,0,2019,\N,\N,Romance
tt10470822,tvEpisode,Acchi Muite Hoi/Talents/Worries/Messages,Acchi Muite Hoi/Talents/Worries/Messages,0,2019,\N,\N,Animation
tt10470822,tvEpisode,Acchi Muite Hoi/Talents/Worries/Messages,Acchi Muite Hoi/Talents/Worries/Messages,0,2019,\N,\N,Comedy
tt10470822,tvEpisode,Acchi Muite Hoi/Talents/Worries/Messages,Acchi Muite Hoi/Talents/Worries/Messages,0,2019,\N,\N,Romance
tt10470826,tvEpisode,Eye Drops/Scoop/Hide and Seek/Treasure Hunting,Eye Drops/Scoop/Hide and Seek/Treasure Hunting,0,2019,\N,\N,Animation
tt10470826,tvEpisode,Eye Drops/Scoop/Hide and Seek/Treasure Hunting,Eye Drops/Scoop/Hide and Seek/Treasure Hunting,0,2019,\N,\N,Comedy
tt10470826,tvEpisode,Eye Drops/Scoop/Hide and Seek/Treasure Hunting,Eye Drops/Scoop/Hide and Seek/Treasure Hunting,0,2019,\N,\N,Romance
tt10470830,tvEpisode,Steps/Fireworks/Souvenirs/Promises,Steps/Fireworks/Souvenirs/Promises,0,2019,\N,\N,Animation
tt10470830,tvEpisode,Steps/Fireworks/Souvenirs/Promises,Steps/Fireworks/Souvenirs/Promises,0,2019,\N,\N,Comedy
tt10470830,tvEpisode,Steps/Fireworks/Souvenirs/Promises,Steps/Fireworks/Souvenirs/Promises,0,2019,\N,\N,Romance
tt10470832,tvEpisode,Summerfestival,Summerfestival,0,2019,\N,\N,Animation
tt10470832,tvEpisode,Summerfestival,Summerfestival,0,2019,\N,\N,Comedy
tt10470832,tvEpisode,Summerfestival,Summerfestival,0,2019,\N,\N,Romance
tt1053153,tvEpisode,Mars: The Red Planet,Mars: The Red Planet,0,2007,\N,45,Documentary
tt1053153,tvEpisode,Mars: The Red Planet,Mars: The Red Planet,0,2007,\N,45,History
