Date,titleId,Title,episodeId,Episode,seasonNumber,episodeNumber
14/01/2021,tt6074794,Sangatsu no Lion,tt8792836,Episódio 15,2,15
14/01/2021,tt6074794,Sangatsu no Lion,tt8792832,Episódio 14,2,14
12/01/2021,tt6074794,Sangatsu no Lion,tt8792824,Episódio 13,2,13
11/01/2021,tt6074794,Sangatsu no Lion,tt8792818,Episódio 12,2,12
08/01/2021,tt6074794,Sangatsu no Lion,tt8792808,Episódio 11,2,11
05/01/2021,tt6074794,Sangatsu no Lion,tt8792582,Episódio 10,2,10
03/01/2021,tt6074794,Sangatsu no Lion,tt8792574,Episódio 9,2,9
03/01/2021,tt6074794,Sangatsu no Lion,tt8792568,Episódio 8,2,8
02/01/2021,tt6074794,Sangatsu no Lion,tt8792564,Episódio 7,2,7
01/01/2021,tt6074794,Sangatsu no Lion,tt8792554,Episódio 6,2,6
29/12/2020,tt6074794,Sangatsu no Lion,tt8792428,Episódio 5,2,5
28/12/2020,tt6074794,Sangatsu no Lion,tt8792422,Episódio 4,2,4
27/12/2020,tt6074794,Sangatsu no Lion,tt8792414,Episódio 3,2,3
26/12/2020,tt6074794,Sangatsu no Lion,tt8792382,Episódio 2,2,2
22/12/2020,tt6074794,Sangatsu no Lion,tt7282032,Episódio 1,2,1
02/12/2020,tt11309924,Space Force,,Reação proporcional,1,10
30/11/2020,tt11309924,Space Force,,De volta à Lua,1,9
29/11/2020,tt11309924,Space Force,,Visita íntima,1,8
24/11/2020,tt11309924,Space Force,,Edison Jaymes,1,7
22/11/2020,tt11309924,Space Force,,O espião,1,6
21/11/2020,tt11309924,Space Force,,Jogo de guerra,1,5
20/11/2020,tt11309924,Space Force,,Habitat lunar,1,4
17/11/2020,tt11309924,Space Force,,Mark e Mallory vão a Washington,1,3
16/11/2020,tt11309924,Space Force,,Salvando o Epsilon 6!,1,2
14/11/2020,tt11309924,Space Force,,O lançamento,1,1
05/11/2020,tt6074794,Sangatsu no Lion,tt7726116,Episódio 22,1,22
04/11/2020,tt6074794,Sangatsu no Lion,tt7726114,Episódio 21,1,21
04/11/2020,tt6074794,Sangatsu no Lion,tt7726110,Episódio 20,1,20
03/11/2020,tt6074794,Sangatsu no Lion,tt7726106,Episódio 19,1,19
02/11/2020,tt6074794,Sangatsu no Lion,tt7726100,Episódio 18,1,18
01/11/2020,tt6074794,Sangatsu no Lion,tt7726098,Episódio 17,1,17
31/10/2020,tt6074794,Sangatsu no Lion,tt7726096,Episódio 16,1,16
30/10/2020,tt6074794,Sangatsu no Lion,tt7726094,Episódio 15,1,15
30/10/2020,tt6074794,Sangatsu no Lion,tt7726092,Episódio 14,1,14
29/10/2020,tt6074794,Sangatsu no Lion,tt7726088,Episódio 13,1,13
27/10/2020,tt6074794,Sangatsu no Lion,tt7726082,Episódio 12,1,12
26/10/2020,tt6074794,Sangatsu no Lion,tt7721562,Episódio 11,1,11
25/10/2020,tt6074794,Sangatsu no Lion,tt7674742,Episódio 10,1,10
25/10/2020,tt6074794,Sangatsu no Lion,tt7674738,Episódio 9,1,9
25/10/2020,tt6074794,Sangatsu no Lion,tt7674728,Episódio 8,1,8
24/10/2020,tt6074794,Sangatsu no Lion,tt7674724,Episódio 7,1,7
24/10/2020,tt6074794,Sangatsu no Lion,tt7674716,Episódio 6,1,6
23/10/2020,tt6074794,Sangatsu no Lion,tt7674710,Episódio 5,1,5
22/10/2020,tt6074794,Sangatsu no Lion,tt6379224,Episódio 4,1,4
14/10/2020,tt6074794,Sangatsu no Lion,tt6379222,Episódio 3,1,3
08/10/2020,tt5959952,Mission Control: The Unsung Heroes of Apollo,,,,
04/10/2020,tt6074794,Sangatsu no Lion,tt6379218,Episódio 2,1,2
02/10/2020,tt6074794,Sangatsu no Lion,tt6379212,Episódio 1,1,1
08/09/2020,tt2910906,The Martian,,Um novo lar,1,1
07/08/2020,tt1279024,Toradora!,tt1390354,Toradora!,1,25
07/08/2020,tt1279024,Toradora!,tt1390352,Confissão,1,24
07/08/2020,tt1279024,Toradora!,tt1390353,O caminho a ser seguido,1,23
07/08/2020,tt1279024,Toradora!,tt1390351,Quando você está por perto,1,22
07/08/2020,tt1279024,Toradora!,tt1381490,Não consigo evitar,1,21
06/08/2020,tt1279024,Toradora!,tt1369401,Permaneça assim para sempre,1,20
06/08/2020,tt1279024,Toradora!,tt1369400,Festa da véspera de Natal,1,19
06/08/2020,tt1279024,Toradora!,tt1361264,Debaixo do pinheiro,1,18
06/08/2020,tt1279024,Toradora!,tt1361263,Mercúrio retrógrado no Natal,1,17
06/08/2020,tt1279024,Toradora!,tt1356237,Um passo à frente,1,16
05/08/2020,tt1279024,Toradora!,tt1356238,Estrelas estão distantes,1,15
05/08/2020,tt1279024,Toradora!,tt1336562,Tigre de Bolso da Felicidade,1,14
05/08/2020,tt1279024,Toradora!,tt1336929,Festival cultural da escola de ensino médio Oohashi – Parte 3,1,13
05/08/2020,tt1279024,Toradora!,tt1326692,Festival cultural da escola de ensino médio Oohashi – Parte 2,1,12
04/08/2020,tt1279024,Toradora!,tt1326693,Festival cultural da escola de ensino médio Oohashi – Parte 1,1,11
04/08/2020,tt1279024,Toradora!,tt1326691,Fogos de artifício,1,10
04/08/2020,tt1279024,Toradora!,tt1301100,Quando você vai à praia,1,9
04/08/2020,tt1279024,Toradora!,tt1301099,Para quem é isso?,1,8
04/08/2020,tt1279024,Toradora!,tt1301098,Dia de piscina,1,7
04/08/2020,tt1279024,Toradora!,tt1301097,O eu verdadeiro,1,6
03/08/2020,tt1279024,Toradora!,tt1301096,Kawashima Ami,1,5
03/08/2020,tt1279024,Toradora!,tt1301095,Aquela cara que você fez,1,4
03/08/2020,tt1279024,Toradora!,tt1301094,Sua canção,1,3
03/08/2020,tt1279024,Toradora!,tt1301093,Taiga e Ryuji,1,2
02/08/2020,tt1279024,Toradora!,tt1301092,Tigre e dragão,1,1
27/06/2020,tt11958648,History 101,tt12375382,Genética,1,9
27/06/2020,tt11958648,History 101,tt12375378,Energia nuclear,1,8
26/06/2020,tt11958648,History 101,tt12375370,Feminismo,1,7
26/06/2020,tt11958648,History 101,tt12375364,Robôs,1,6
25/06/2020,tt11958648,History 101,tt12375360,Petróleo do Oriente Médio,1,5
24/06/2020,tt11958648,History 101,tt12375356,Plásticos,1,4
24/06/2020,tt11958648,History 101,tt12375344,Ascensão da China,1,3
23/06/2020,tt11958648,History 101,tt12371318,Corrida espacial,1,2
23/06/2020,tt11958648,History 101,tt12233448,Fast Food,1,1
21/06/2020,tt11958344,A Whisker Away,,,,
20/06/2020,tt12189310,"Coronavirus, Explained",,Como encarar,,3
18/06/2020,tt2910906,The Martian,,Momento de decisão,1,6
18/06/2020,tt12189310,"Coronavirus, Explained",,Corrida por uma vacina,,2
17/06/2020,tt2910906,The Martian,,Tempos difíceis,1,5
17/06/2020,tt2910906,The Martian,,Energia,1,4
16/06/2020,tt2910906,The Martian,,Queda de pressão,1,3
16/06/2020,tt2910906,The Martian,,Com os pés no chão,1,2
14/06/2020,tt7521400,The Search for Life in Space,,,,
14/06/2020,tt12189310,"Coronavirus, Explained",,A atual pandemia,,1
14/06/2020,tt0206501,Nova,,Death Dive to Saturn,,19
13/06/2020,tt0206501,Nova,,Black Hole Apocalypse,,1
28/05/2020,tt1051155,The Universe,tt1099171,A busca pelo ET,1,13
27/05/2020,tt1051155,The Universe,tt1090619,O lugar mais perigoso do Universo,1,12
27/05/2020,tt1051155,The Universe,tt1090620,Os Planetas Exteriores,1,11
24/05/2020,tt1051155,The Universe,tt1082788,A vida e a morte de uma estrela,1,10
23/05/2020,tt1051155,The Universe,tt1084936,Galáxias alienígenas,1,9
23/05/2020,tt1051155,The Universe,tt1076740,Saturno: o Senhor dos Anéis,1,8
21/05/2020,tt1051155,The Universe,tt1073072,Mercúrio e Vênus: os Planetas Interiores,1,7
20/05/2020,tt1051155,The Universe,tt1070254,Espaçonave Terra,1,6
19/05/2020,tt1051155,The Universe,tt1059163,A Lua,1,5
16/05/2020,tt1051155,The Universe,tt1055225,Júpiter: o Planeta Gigante,1,4
26/04/2020,tt1051155,The Universe,tt1053155,O fim da Terra,1,3
19/04/2020,tt1051155,The Universe,tt1053153,Marte: o Planeta Vermelho,1,2
19/04/2020,tt1051155,The Universe,tt1053154,Segredos do Sol,1,1
11/04/2020,tt0245429,Sen to Chihiro no kamikakushi,,,,
09/03/2020,tt0096283,Tonari no Totoro,,,,
19/02/2020,tt0092359,Full House,tt0584226,Maré de sorte,5,6
18/02/2020,tt0092359,Full House,tt0584224,O rei e eu,5,5
17/02/2020,tt0092359,Full House,tt0776070,Má reputação,5,4
16/02/2020,tt0092359,Full House,tt0584209,Pode ficar com minha irmã,5,3
14/02/2020,tt0092359,Full House,tt0584173,A casamenteira,5,2
14/02/2020,tt0092359,Full House,tt0584130,Problema em dobro,5,1
12/02/2020,tt0092359,Full House,tt0584194,Bebê a caminho,4,26
12/02/2020,tt0092359,Full House,tt0584188,Nosso primeiro episódio,1,1
11/02/2020,tt0092359,Full House,tt0584219,Três formaturas,4,25
11/02/2020,tt0092359,Full House,tt0584139,Levando bronca,4,24
09/02/2020,tt0092359,Full House,tt0584157,"Hollywood, Joey está na área",4,23
07/02/2020,tt0092359,Full House,tt0584204,Tudo por amor,4,22
07/02/2020,tt0092359,Full House,tt0776001,A gangue da reforma,4,21
06/02/2020,tt0092359,Full House,tt0775995,Mudança indesejada,4,20
06/02/2020,tt0092359,Full House,tt0584238,O casamento - Parte 2,4,19
06/02/2020,tt0092359,Full House,tt0584237,O casamento - Parte 1,4,18
05/02/2020,tt0092359,Full House,tt0584093,Banho de espuma para peixe,4,17
05/02/2020,tt0092359,Full House,tt0584203,Stephanie vai longe demais,4,16
04/02/2020,tt0092359,Full House,tt0584090,Danny já era,4,15
04/02/2020,tt0092359,Full House,tt0776076,Só meio período,4,14
03/02/2020,tt0092359,Full House,tt0584149,Feliz Ano Novo,4,13
02/02/2020,tt0092359,Full House,tt0776062,Danny no comando,4,12
02/02/2020,tt5311514,Kimi no na wa.,,,,
01/02/2020,tt0092359,Full House,tt0584197,O admirador secreto,4,11
21/01/2020,tt0092359,Full House,tt0584212,Um amor de menino,4,10
20/01/2020,tt0092359,Full House,tt0584184,Só mais um beijo,4,9
20/01/2020,tt0092359,Full House,tt0584198,Dieta secreta,4,8
20/01/2020,tt0092359,Full House,tt0584249,Las Joey Vegas,4,7
19/01/2020,tt0092359,Full House,tt0584096,Um mau conselho,4,6
19/01/2020,tt0092359,Full House,tt0584141,A escolha do editor,4,5
19/01/2020,tt0092359,Full House,tt0775997,Festa do pijama,4,4
19/01/2020,tt8176578,Flavors of Youth,,,,
19/01/2020,tt0092359,Full House,tt0584223,Proposta indecente,4,3
18/01/2020,tt0092359,Full House,tt0584119,Tem gente que não quer ver,4,2
18/01/2020,tt0092359,Full House,tt0584146,Direto da Grécia,4,1
18/01/2020,tt0092359,Full House,tt0584189,Por uma boa causa,3,24
17/01/2020,tt0092359,Full House,tt0584138,Relembrando velhos tempos,3,23
16/01/2020,tt0092359,Full House,tt0584240,Um bebê para cuidar,3,22
16/01/2020,tt0092359,Full House,tt0584161,"D.J., a injustiçada",3,21
16/01/2020,tt0092359,Full House,tt0774811,A batida,3,20
15/01/2020,tt0092359,Full House,tt0584239,Papéis trocados,3,19
14/01/2020,tt0092359,Full House,tt0584179,Programa para crianças,3,18
14/01/2020,tt0092359,Full House,tt0584091,13 velinhas,3,17
14/01/2020,tt0092359,Full House,tt0584113,Onde está o passarinho que estava aqui?,3,16
13/01/2020,tt0092359,Full House,tt0584170,Confusões amorosas,3,15
12/01/2020,tt0092359,Full House,tt0584178,Babá sem experiência,3,14
10/01/2020,tt0092359,Full House,tt0584182,O desafio de Jesse,3,13
10/01/2020,tt0092359,Full House,tt0584156,"Cometa, para de roer!",3,12
09/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470832,Episódio 12,2,12
09/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470830,Episódio 11,2,11
09/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470826,Episódio 10,2,10
09/01/2020,tt0092359,Full House,tt0584097,Medo de terremoto,3,11
08/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470822,Episódio 9,2,9
08/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470820,Episódio 8,2,8
08/01/2020,tt0092359,Full House,tt0584220,O melhor aniversário do mundo,3,10
08/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470814,Episódio 7,2,7
08/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470812,Episódio 6,2,6
08/01/2020,tt0092359,Full House,tt0584131,O retorno de velhos hábitos,3,9
07/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470808,Episódio 5,2,5
07/01/2020,tt0092359,Full House,tt0584129,Disputa no Halloween,3,8
06/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470806,Episódio 4,2,4
06/01/2020,tt0092359,Full House,tt0584100,Amor por cães,3,7
05/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470802,Episódio 3,2,3
05/01/2020,tt0092359,Full House,tt0584202,Pode ou não pode?,3,6
05/01/2020,tt0092359,Full House,tt0584145,Presente da vovó,3,5
05/01/2020,tt7808344,Karakai Jouzu no Takagi-san,tt10470798,Episódio 2,2,2
04/01/2020,tt0092359,Full House,tt0584180,Nerd por um dia,3,4
03/01/2020,tt0092359,Full House,tt0584111,A fada do dente,3,3
03/01/2020,tt0092359,Full House,tt0584105,Volta às aulas,3,2
02/01/2020,tt0092359,Full House,tt0760692,A ilha de Tanner,3,1
02/01/2020,tt0092359,Full House,tt0584169,O grande dia - Parte 2,2,22
02/01/2020,tt0092359,Full House,tt0584168,O grande dia - Parte 1,2,21
01/01/2020,tt0092359,Full House,tt0776066,Presente de aniversário,2,20
01/01/2020,tt0092359,Full House,tt0584109,Surpresa do passado,2,19
30/12/2019,tt0092359,Full House,tt0584142,"Tchauzinho, Mr. Bear",2,18
30/12/2019,tt0092359,Full House,tt0584134,El problema de D.J.,2,17
30/12/2019,tt0092359,Full House,tt0584103,Amor de criança,2,16
29/12/2019,tt0092359,Full House,tt0584190,Como ficamos amigos,2,15
28/12/2019,tt0092359,Full House,tt0584165,Dia dos Namorados,2,14
28/12/2019,tt0092359,Full House,tt0584251,Problema de mãe,2,13
28/12/2019,tt0092359,Full House,tt0584137,Uma grande confusão,2,12
27/12/2019,tt0092359,Full House,tt0584095,Romance no ar,2,11
27/12/2019,tt0092359,Full House,tt0584177,Crise de meia idade,2,10
27/12/2019,tt0092359,Full House,tt0584185,Nosso primeiro especial de Natal,2,9
27/12/2019,tt0092359,Full House,tt0584244,Encontro triplo,2,8
26/12/2019,tt0092359,Full House,tt0776068,Joey em apuros,2,7
26/12/2019,tt0092359,Full House,tt0584108,Promoção dos Beach Boys,2,6
24/12/2019,tt0092359,Full House,tt0831511,Novos parceiros,2,5
24/12/2019,tt0092359,Full House,tt0584124,O primeiro cavalo de D.J.,2,4
24/12/2019,tt0092359,Full House,tt0584154,Mudança de planos,2,3
23/12/2019,tt0092359,Full House,tt0584211,Tanner contra Gibbler,2,2
23/12/2019,tt0092359,Full House,tt0584121,A maldição,2,1
23/12/2019,tt0092359,Full House,tt0584122,D.J. mata aula,1,22
23/12/2019,tt0092359,Full House,tt0584171,Empréstimo antigo,1,21
22/12/2019,tt0092359,Full House,tt0584234,O problema de Jesse - Parte 2,1,20
22/12/2019,tt0092359,Full House,tt0584233,O problema de Jesse - Parte 1,1,19
22/12/2019,tt0092359,Full House,tt0584160,D.J. fica de fora,1,18
22/12/2019,tt0092359,Full House,tt0584126,Primeiro encontro do Danny,1,17
21/12/2019,tt0092359,Full House,tt0584112,Olho gordo,1,16
21/12/2019,tt0092359,Full House,tt0827308,Cuidado que pega,1,15
20/12/2019,tt0092359,Full House,tt0584147,História de amor pela metade,1,14
20/12/2019,tt0092359,Full House,tt0584200,Amor de irmãs,1,13
19/12/2019,tt0092359,Full House,tt0584187,Nossa primeira promoção,1,12
19/12/2019,tt0092359,Full House,tt0584214,Surpresa de aniversário,1,11
19/12/2019,tt0092359,Full House,tt0584159,A casa nova do Joey,1,10
18/12/2019,tt0092359,Full House,tt0584227,O milagre de Ação de Graças,1,9
18/12/2019,tt0092359,Full House,tt0584155,Garota disputada,1,8
18/12/2019,tt0092359,Full House,tt0584163,Falei demais,1,7
17/12/2019,tt0092359,Full House,tt0584125,A casa do papai,1,6
17/12/2019,tt0092359,Full House,tt0584196,O cruzeiro,1,5
17/12/2019,tt0092359,Full House,tt0584232,Visita da vovó,1,4
16/12/2019,tt0092359,Full House,tt0584218,Primeiro dia de escola,1,3
16/12/2019,tt0092359,Full House,tt0584186,Nossa primeira noite,1,2
16/12/2019,tt0206512,SpongeBob SquarePants,tt1272824,Casa Chique / Estrada do Carsiri,6,1
16/12/2019,tt7808344,Karakai Jouzu no Takagi-san,tt10470796,Episódio 1,2,1
15/12/2019,tt0332379,School of Rock,,,,
14/12/2019,tt1475582,Sherlock,tt3845892,O problema final,4,3
14/12/2019,tt1475582,Sherlock,tt3845888,O detetive mentiroso,4,2
09/12/2019,tt1475582,Sherlock,tt3538760,As seis Thatchers,4,1
08/12/2019,tt1475582,Sherlock,tt3381878,A abominável noiva,3,0
08/12/2019,tt1475582,Sherlock,tt2781046,Seu último juramento,3,3
07/12/2019,tt1475582,Sherlock,tt2781042,O sinal dos três,3,2
06/12/2019,tt1475582,Sherlock,tt2189771,O caixão vazio,3,1
06/12/2019,tt1475582,Sherlock,tt1942614,A queda de Reichenbach,2,3
04/12/2019,tt1475582,Sherlock,tt1942613,Os cães de Baskerville,2,2
02/12/2019,tt1475582,Sherlock,tt1942612,Um escândalo em Belgrávia,2,1
01/12/2019,tt1475582,Sherlock,tt1664530,O grande jogo,1,3
30/11/2019,tt1475582,Sherlock,tt1664529,O banqueiro cego,1,2
29/11/2019,tt1475582,Sherlock,tt1665071,Um estudo em rosa,1,1
19/11/2019,tt0230011,Atlantis: The Lost Empire,,,,
18/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582990,Fim da linha: Parte 2,6,24
17/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582989,Fim da linha: Parte 1,6,23
17/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582964,Essa foi por pouco,6,22
16/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582992,Tacada mal planejada,6,21
16/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582993,Cavalo adotado não se olha os dentes,6,20
16/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582994,Erros de gravação,6,19
16/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582977,O coelhinho da Páscoa,6,18
15/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583043,A culpa é do filho do mordomo,6,17
15/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582987,A separação é difícil: Parte 2,6,16
15/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582950,Um round com Helena,6,15
14/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582949,Instinto materno,6,14
14/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582988,Saia justa,6,13
13/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582947,O barbeiro de Bel-Air,6,12
13/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582991,O Mauricinho na fossa,6,11
13/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583057,Culpa do estresse,6,10
12/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583056,De emprego novo,6,9
12/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583061,Bem passado,6,8
12/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582969,Para quem os sinos tocam,5,25
12/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583005,O dilema de Will,5,24
11/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582957,Comporte-se!,5,23
11/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583060,A estrela da novela,5,22
11/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583022,Mentirinha de nada,5,21
10/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582940,"Bobo, eu!",5,20
10/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583026,Tudo por amor,5,19
10/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583055,Onde tudo começou,5,18
09/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583070,Papai por um dia,5,17
09/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582935,O pesadelo de Will,5,16
09/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582951,O filme da minha vida,5,15
09/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582998,Encontro às cegas,5,14
09/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583059,A realidade dói,5,13
08/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583021,Não é bem assim,5,12
07/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583071,Tudo para impressionar,5,11
07/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583018,Viagem à Filadélfia,4,24
05/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583010,Propriedade à venda,4,23
05/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583006,Erros do passado,4,22
05/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583048,Dia das Mães,4,21
04/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583051,O passado bate à porta,4,20
04/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583077,Noiva safada,4,19
04/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583031,Uma nova carreira,4,18
02/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583064,"Pare, em nome do amor!",4,17
02/11/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582986,Vida de artista,4,16
31/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583066,A marcha do pavão,4,15
31/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583025,Quem manda aqui?,4,14
30/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582933,Insônia em Bel-Air,4,13
30/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583078,Batizado classe A,4,12
29/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583034,Morrendo e aprendendo,4,11
29/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582983,Cafetão de família,4,10
28/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582970,Saindo da dieta,4,9
28/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582945,O que conta é o sangue,4,8
28/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582979,Maré de má sorte,4,7
28/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583069,Um caso para o tribunal,4,6
28/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582997,É melhor ter amado e perdido,4,5
27/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582967,O pai do ano,4,4
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582939,A vitória vem com esforço,4,3
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0834696,Querer é poder: Parte 2,4,2
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583065,Querer é poder: Parte 1,4,1
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583024,Com uma condição,3,24
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583054,As bodas,3,23
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583039,Alarme falso,3,20
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582952,O bebê mais lindo do mundo,3,16
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583009,A hora da verdade,3,13
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583045,Quarentena,3,12
26/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582936,A contragosto,3,11
25/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582937,Uma noite com Oprah,3,9
25/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0582978,Lá vem o juiz,3,7
22/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583016,P.S.: eu te amo,3,6
22/10/2019,tt0098800,The Fresh Prince of Bel-Air,tt0583007,Toma que o filho é seu,3,5
