Title,Date
"Little Witch Academia: Temporada 1: A Fonte de Polaris","30/09/2019"
"Little Witch Academia: Temporada 1: A ira dos dragões","30/09/2019"
"Little Witch Academia: Temporada 1: A Noite Cai","29/09/2019"
"Little Witch Academia: Temporada 1: Nada vai me deter","29/09/2019"
"Little Witch Academia: Temporada 1: Papilliodia","29/09/2019"
"Little Witch Academia: Temporada 1: Começando do zero","29/09/2019"
"Luzes no Céu: Fireworks","22/09/2019"
"Ano Hana: Temporada 1: Episódio 11","21/09/2019"
"Ano Hana: Temporada 1: Episódio 10","21/09/2019"
"Ano Hana: Temporada 1: Episódio 9","21/09/2019"
"Ano Hana: Temporada 1: Episódio 8","21/09/2019"
"Ano Hana: Temporada 1: Episódio 7","20/09/2019"
"Ano Hana: Temporada 1: Episódio 6","20/09/2019"
"Ano Hana: Temporada 1: Episódio 5","20/09/2019"
"Ano Hana: Temporada 1: Episódio 4","20/09/2019"
"Ano Hana: Temporada 1: Episódio 3","20/09/2019"
"Ano Hana: Temporada 1: Episódio 2","19/09/2019"
"Ano Hana: Temporada 1: Episódio 1","18/09/2019"
"Tron: O legado","16/09/2019"
"Viagem para Agartha","15/09/2019"
"A Garota que conquistou o tempo","15/09/2019"
"Crianças Lobo","14/09/2019"
"A Voz do Silêncio – Koe No Katachi","13/09/2019"
"One-Punch Man: Temporada 1: O herói mais forte","13/09/2019"
"One-Punch Man: Temporada 1: Conquistador do universo","13/09/2019"
"One-Punch Man: Temporada 1: Perigo incomparável","13/09/2019"
"Divertida Mente","13/09/2019"
"One-Punch Man: Temporada 1: Ciclista da Justiça","11/09/2019"
"One-Punch Man: Temporada 1: Rei do Mar Profundo","11/09/2019"
"One-Punch Man: Temporada 1: O aprendiz supremo","11/09/2019"
"One-Punch Man: Temporada 1: A cidade fantasma","11/09/2019"
"One-Punch Man: Temporada 1: O mentor supremo","10/09/2019"
"One-Punch Man: Temporada 1: O ninja moderno","10/09/2019"
"One-Punch Man: Temporada 1: O cientista obstinado","10/09/2019"
"One-Punch Man: Temporada 1: O ciborgue solitário","09/09/2019"
"One-Punch Man: Temporada 1: O homem mais poderoso","09/09/2019"
"Coraline e o mundo secreto","17/07/2019"
"Kubo e as Cordas Mágicas","04/07/2019"
"ParaNorman","03/07/2019"
"Bob Esponja - Um Herói Fora D'Água","29/06/2019"
"Pets - A Vida Secreta dos Bichos","15/06/2019"
"The Walking Dead: Temporada 1: Adeus, passado","07/04/2019"
"Exterminadores do Além Contra a Loira do Banheiro","07/04/2019"
